signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year,scraped_title,scraped_author,scraped_publisher,scraped_place,scraped_year,scraped_ppn,scrape_status
http://diglib.hab.de/drucke/29-2-med-2f/start.htm,29-2-med-2f,"9, 768, 769",,,,,,,"Chirurgische Bücher und Schrifften/ deß Edelen/ Hochgelehrten unnd Bewehrten Philosophi und Medici, Philippi Theophrasti Bombast/ von Hohenheim/ Paracelsi genandt","Hohenheim, Philippus Theophrastus Bombast von; [u.a.]",Zetzner; [u.a.],Straßburg; [u.a.],1618,091960088,ok
http://diglib.hab.de/drucke/3-bell/start.htm,3-bell,"100, 117, 131, 132, 133, 137, 139, 194, 199, 202, 213, 215, 223, 232, 233, 234, 238, 249, 250, 266, 347, 349, 350, 352, 353, 360, 361, 362, 363, 364, 389, 390, 391, 394, 395, 397, 398, 400, 402, 403",,,,,,,"La Pyrotechnie, Ov Art Dv Fev. Contenant Dix Livres, Avsqvelles Est Amplement rtaicté de toutes sortes & diuersité de minieres, fusions & separations des metaux: des fomres & moules pour getter artilleries, cloches, & toutes autres figures: des distillations, des mines, contremines, pots, boulets, fusees, lances ... & autres choses dependantes du feu. Contenant Dix Livres, Avsqvelles Est Amplement rtaicté de toutes sortes & diuersité de minieres, fusions & separations des metaux: des fomres & moules pour getter artilleries, cloches, & toutes autres figures: des distillations, des mines, contremines, pots, boulets, fusees, lances ... & autres choses dependantes du feu","Biringuccio, Vannoccio",Fremy,Paris,1556,805140069,ok
http://diglib.hab.de/drucke/30-med-2f-1s/start.htm,30-med-2f-1s,"68, 81, 82, 87, 212, 228",,,,,,,Bebai?sis ag?nismu.|| Das ist Confirmatio Concer=||tationis/ oder ein Bestettigung deß Jenigen so || Streittig/ Häderig/ oder Zenckisch ist/ wie dann auß vnuerstandt || die Neuwe vnd vor vnerhörte erfindung der aller Nützlichest~e vnd Menschlichem || geschlecht der Notturftigesten kunst dess Harnnprobirens || ein zeitlang gewest ist.|| Welcher Kunst Grundt vnd Fundament hierin || durch den Inuentorem Leonharten Thurneisser zum Thurn Chur=||fürstischen Brandenburgischen bestalten Leibs Medicum ausfuerlich ... || Zu Ehren vnd Wolgefallen dem Durchleüchtigen Fürsten vnd || Herren/ Herrn Gotthardten Jn Liflandt zu Curlandt vnd Semigalen Her=||tzogen ... in Dreyzehen kurtzer Büecher || an tag geben.||,"Thurneysser zum Thurn, Leonhardt","Thurneisser, Leonhard",Berlin,1576,82933839X,ok
http://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm,35-1-phys-2f-1s,"51, 61, 62, 63, 64, 66, 68, 70, 74, 75, 78, 80, 82, 87, 88, 94, 96, 102, 108, 112, 125, 128, 132, 133, 136, 156",,,,,,,"Coelum Philosophorum. Von heimlichkeit der Natur. das ist, wie man nicht allein auß Wein, sonder auch auß allen Metallen, Früchten ... sol Distilliern Aquam vite, zu erhaltung der gesundheit Menschliches Cörpers. das ist, wie man nicht allein auß Wein, sonder auch auß allen Metallen, Früchten ... sol Distilliern Aquam vite, zu erhaltung der gesundheit Menschliches Cörpers","Ulstadius, Philippus",Gülfferich,Franckfurdt am Mayn,1551,838732070,ok
http://diglib.hab.de/drucke/38-7-med-1s/start.htm,38-7-med-1s,6,,,,,,,"Hadriani a Mynsicht alias Tribudenii, Germani ... Thesaurus Et Armamentarium Medico-Chymicum. Hoc est Selectißimorum, contra quosvis morbos, pharmacorum conficiendorum secretißima ratio. Propria laborum experientia, multiplici & felicissima praxi confirmata, & nunc ... fideliter revelata & communicata","Mynsicht, Adrian von",Schernwebel; [u.a.],Lubecae; [u.a.],1646,732405157,ok
http://diglib.hab.de/drucke/416-quod-2s/start.htm,416-quod-2s,"28, 29",,,,,,,,,,,,,ok
http://diglib.hab.de/drucke/46-10-med-1s/start.htm,46-10-med-1s,"113, 114, 125, 147, 148, 149, 270",,,,,,,"Vereinigung der Galenischen und Paracelsischen Artzney:Kunst. Darinn nicht allein von weiß und weg die Kranckheiten zu Curieren und Heylen: Sondern auch von wahrer Preparation und rechter zubereitung/ deren so wohl von den Vegetabilibus und Animabilibus: Alß auch Minerabilibus hergenomnen Medicamenten, Grundt: und Außführlichen tractiert und gehandelt wirdt","Dariot, Claude",König,Basel,1623,731598369,ok
http://diglib.hab.de/drucke/46-2-med-1s/start.htm,46-2-med-1s,3,,,,,,,"MEDICI LIBELLI,|| Des hocherfarnesten || Herrn THEOPHRASTI PARACEL=||SI, beyder Artzeney Doctoris/ vorhin || niemals in Truck aus-||gangen.|| Physionomia morborum.|| De Terebinthina & vtroq; Helleboro.|| Liber secundus de Caduco Matricis.|| De Peste Commentarius.|| Fragmentum aliud de Peste.|| De ligno Guaiaco.|| Explicatio aliquot Aphorismorum Hip-||pocratis.|| ... ||[Hrsg.v.(Balthassar Floeter ||)]",,"Birckmann, Arnold d.Ä. (Erben)",Köln,1567,85749838X,ok
http://diglib.hab.de/drucke/46-med-4s/start.htm,46-med-4s,1,"Maierus, Michael: Examen Fucorum Pseudo-Chymicorum","Maierus, Michael",Examen Fucorum Pseudo-Chymicorum,,Examen,,Examen Fucorum Pseudo-Chymicorum Detectorum Et In Gratiam Veritatis Amantium succincte refutatorum,"Maierus, Michael; [u.a.]",Brius; [u.a.],Francofurti; [u.a.],1617,535497865,ok
http://diglib.hab.de/drucke/46-phys-2s/start.htm,46-phys-2s,19,,,,,,,"Cabala, Speculum Artis Et Naturae, In Alchymia. exinde, Quid, Lapis Sophorum antiquissimus, rei sit, qui triplex, & tamen simplex lapis existit ... ta[m] perspicue, ac lucidissimo speculo, proposita, & quatuor aeneis laminis incisis Picturis exhibita. exinde, Quid, Lapis Sophorum antiquissimus, rei sit, qui triplex, & tamen simplex lapis existit ... ta[m] perspicue, ac lucidissimo speculo, proposita, & quatuor aeneis laminis incisis Picturis exhibita","Michelspacher, Stephan",Michelspacher; [u.a.],[Augsburg]; [u.a.],1616,602661994,ok
