signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year,scraped_title,scraped_author,scraped_publisher,scraped_place,scraped_year,scraped_ppn,scrape_status
http://diglib.hab.de/drucke/mf-4f-3/start.htm,mf-4f-3,"5, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29, 36, 52, 312",,,,,,,Das nüwe distilier buoch|| der rechte[n] kunst z°u distilieren vnd auch darzü|| die wasser zü brennen/. mit figuren ange zöget||. mit figuren ange zöget||,"Brunschweick, Jheronimus",Grüninger,Straßburg,1528,817548084,ok
http://diglib.hab.de/drucke/mf-69-1s/start.htm,mf-69-1s,422,,,,,,,Keslerus Redivivus: Das ist/ Fünff hundert außerlesene Chymische Proceß und Artzneyen. theils zu innerlichen und eusserlichen Leibskranckheiten/ theils auch zu Verbesserung der mindern Metallen hochnutzlich. theils zu innerlichen und eusserlichen Leibskranckheiten/ theils auch zu Verbesserung der mindern Metallen hochnutzlich. theils zu innerlichen und eusserlichen Leibskranckheiten/ theils auch zu Verbesserung der mindern Metallen hochnutzlich,"Kessler, Thomas; [u.a.]",Beyer; [u.a.],Franckfurt am Mayn; [u.a.],1641,536851662,ok
http://diglib.hab.de/drucke/n-96-4f-helmst-6s/start.htm,n-96-4f-helmst-6s,1,,,,,,,VOn den vsz gebrenten wassern || Ein güts nützlichs buchlyn. Jn wölcher maß || man die zu den glydern nützen vnd bruch~e soll/|| als dann meyster Michel Schrick doctor || der ertzney die d~e mensch~e beschrib~e hat.||,"Schrick, Michael","Knobloch, Johann d.Ä.",Straßburg,1519,817547517,ok
http://diglib.hab.de/drucke/na-2f-3-1/start.htm,na-2f-3-1,"7, 335, 339, 417",,,,,,,"Athanasii Kircheri E Soc. Jesu Mundus Subterraneus. In XII Libros digestus; Qvo Divinum Subterrestris Mundi Opificium, mira Ergasteriorum Naturæ in eo distributio, verbo pantamorphon Protei Regnum, Universæ denique Naturæ Majestas & divitiæ summa rerum varietate exponuntur. Abditorum effectuum causæ acri indagine inquisitæ demonstrantur; cognitæ per Artis & Naturæ conjugium ad humanæ vitæ necessarium usum vario experimentorum apparatu, necnon novo modo, & ratione applicantur. In XII Libros digestus; Qvo Divinum Subterrestris Mundi Opificium, mira Ergasteriorum Naturæ in eo distributio, verbo pantamorphon Protei Regnum, Universæ denique Naturæ Majestas & divitiæ summa rerum varietate exponuntur. Abditorum effectuum causæ acri indagine inquisitæ demonstrantur; cognitæ per Artis & Naturæ conjugium ad humanæ vitæ necessarium usum vario experimentorum apparatu, necnon novo modo, & ratione applicantur","Kircherus, Athanasius",Janssonius & Weyerstraten,Amstelodami,1665,489754511,ok
http://diglib.hab.de/drucke/na-2f-3-2/start.htm,na-2f-3-2,"199, 454, 457, 458, 462, 525",,,,,,,"Athanasii Kicheri E Soc. Iesu Mundi Subterranei Tomus II.us. In V. Libros Digestus Quibus Mundi Subterranaei fructus exponuntur, et quidquid tandem rarum, insolitum, et portentosum in foecundo Naturæ utero continetur, ante oculos ponitur curiosi Lectoris","Kircherus, Athanasius",Janssonius à Waesberge et Weyerstraet,Amstelodami,1665,489754627,ok
http://diglib.hab.de/drucke/na-2f-4/start.htm,na-2f-4,62,,,,,,,"Museum Museorum, Oder Vollständige Schau-Bühne Aller Materialien und Specereÿen Nebst deren Natürlichen Beschreibung/ Election/ Nutzen und Gebrauch. Aus andern Material- Kunst- und Naturalien-Kammern/ Oost- und West-Jndischen Reiß-Beschreibungen/ Curiosen Zeit- und Tag-Registern/ Natur- und Artzney-Kündigern/ wie auch selbst-eigenen Erfahrung ; Zum Vorschub Der Studirenden Jugend/ Materialisten/ Apothecker und deren Visitatoren/ Wie auch anderer Künstler/ als Jubelirer/ Mahler/ Färber, u.s.w. also verfasset/ und Mit etlich hundert sauberen Kupfferstücken Unter Augen geleget. Aus andern Material- Kunst- und Naturalien-Kammern/ Oost- und West-Jndischen Reiß-Beschreibungen/ Curiosen Zeit- und Tag-Registern/ Natur- und Artzney-Kündigern/ wie auch selbst-eigenen Erfahrung ; Zum Vorschub Der Studirenden Jugend/ Materialisten/ Apothecker und deren Visitatoren/ Wie auch anderer Künstler/ als Jubelirer/ Mahler/ Färber, u.s.w. also verfasset/ und Mit etlich hundert sauberen Kupfferstücken Unter Augen geleget","Valentini, Michael Bernhard",Zunner,Franckfurt am Mäyn,1704,614333997,ok
http://diglib.hab.de/drucke/nd-14-1s/start.htm,nd-14-1s,66,,,,,,,"Occulta Philosophia. Von den verborgenen Philosophischen Geheimnussen der heimlichen Goldblumen/ und Lapidis Philosophorum, was derselbige: und wie zu Erlangung dessen zu procediren/ außführlicher Bericht in einem Philosophischen Gespräch verfasset. Von den verborgenen Philosophischen Geheimnussen der heimlichen Goldblumen/ und Lapidis Philosophorum, was derselbige: und wie zu Erlangung dessen zu procediren/ außführlicher Bericht in einem Philosophischen Gespräch verfasset",,Bringer; [u.a.],Franckfurt am Mayn; [u.a.],1613,092275664,ok
http://diglib.hab.de/drucke/nd-283-2s/start.htm,nd-283-2s,"162, 176",,,,,,,Der unterwiesene Anfänger in der Chymie. Hermetisches Sendschreiben von Comite Francisco Onuphrio de Marsciano an seinen auserwehlten Schüler in der Kunst überschicket ; Anno 1744. zu Cöln auf Kosten dieses seines Schülers gedrucket zum Nutzen derer Liebhaber der Chymie ; Die Geheimnusse der Kunst und von niemand bißhero erklärte wunderwürdige Dinge,"Marsciano, Franciscus Onuphrius de",Krauß,Wienn,1751,845300539,ok
http://diglib.hab.de/drucke/nd-2f-1-1b/start.htm,nd-2f-1-1b,"111, 565, 965, 971, 973, 975, 977, 979, 981, 983, 985, 987, 989",,,,,,,"Jo. Jacobi Mangeti, Medicinæ Doctoris, Et Sereniss. ac Potentiss. Regis Prussiæ Archiatri, Bibliotheca Chemica Curiosa, Seu Rerum ad Alchemiam pertinentium Thesaurus Instructissimus. In Quo Tamen tota Philosophia hermetica, figuris hieroglyphicis depingitur. Quo non tantùm Artis Auriferæ, Ac Scriptorum in ea Nobiliorum Historia traditur ...; Verùm etiam Tractatus Omnes Virorum Celebriorum, qui in Magno sudarunt Elixyre, quínque ab ipso Hermete, ut dicitur, Trismegisto, ad nostra usque Tempora de Chrysopoea scripserunt, cum præcipuis suis Commentariis, concinno Ordine dispositi exhibentur; Ad quorum omnium Illustrationem additæ sunt quamplurimæ Figuræ æneæ. Quo non tantùm Artis Auriferæ, Ac Scriptorum in ea Nobiliorum Historia traditur ...; Verùm etiam Tractatus Omnes Virorum Celebriorum, qui in Magno sudarunt Elixyre, quínque ab ipso Hermete, ut dicitur, Trismegisto, ad nostra usque Tempora de Chrysopoea scripserunt, cum præcipuis suis Commentariis, concinno Ordine dispositi exhibentur; Ad quorum omnium Illustrationem additæ sunt quamplurimæ Figuræ æneæ",,De Tournes,Genevae,1702,832254932,ok
http://diglib.hab.de/drucke/nd-2f-1-2b/start.htm,nd-2f-1-2b,"94, 622",,,,,,,"Jo. Jacobi Mangeti, Medicinæ Doctoris, Et Sereniss. ac Potentiss. Regis Prussiæ Archiatri, Bibliotheca Chemica Curiosa, Seu Rerum ad Alchemiam pertinentium Thesaurus Instructissimus. Quo non tantùm Artis Auriferæ, Ac Scriptorum in ea Nobiliorum Historia traditur ...; Verùm etiam Tractatus Omnes Virorum Celebriorum, qui in Magno sudarunt Elixyre, quínque ab ipso Hermete, ut dicitur, Trismegisto, ad nostra usque Tempora de Chrysopoea scripserunt, cum præcipuis suis Commentariis, concinno Ordine dispositi exhibentur; Ad quorum omnium Illustrationem additæ sunt quamplurimæ Figuræ æneæ. Quo non tantùm Artis Auriferæ, Ac Scriptorum in ea Nobiliorum Historia traditur ...; Verùm etiam Tractatus Omnes Virorum Celebriorum, qui in Magno sudarunt Elixyre, quínque ab ipso Hermete, ut dicitur, Trismegisto, ad nostra usque Tempora de Chrysopoea scripserunt, cum præcipuis suis Commentariis, concinno Ordine dispositi exhibentur; Ad quorum omnium Illustrationem additæ sunt quamplurimæ Figuræ æneæ",,Tournes,Genevae,1702,832000922,ok
http://diglib.hab.de/drucke/nd-351/start.htm,nd-351,6,,,,,,,"Der Curieuse und wohlerfahrne Chymist. Welcher nicht alleine die Aus dem Mineral-Vegetabilischen und Thier-Reiche hergenommene, und in der Medicin gebräuchlichste Chymische Processe gründlich und deutlich lehret, Sondern auch anweiset, Wie solche nach denen gehörigen Kunst-Griffen geschicklich zu bereiten, um solche zu Erhaltung menschlicher Gesundheit bey allen zustossenden Kranckheiten in rechter Dosi nützlich zu gebrauchen. Welcher nicht alleine die Aus dem Mineral-Vegetabilischen und Thier-Reiche hergenommene, und in der Medicin gebräuchlichste Chymische Processe gründlich und deutlich lehret, Sondern auch anweiset, Wie solche nach denen gehörigen Kunst-Griffen geschicklich zu bereiten, um solche zu Erhaltung menschlicher Gesundheit bey allen zustossenden Kranckheiten in rechter Dosi nützlich zu gebrauchen","Hellwig, Christoph von",Beumelburg,Arnstadt,1738,84529525X,ok
http://diglib.hab.de/drucke/nd-4f-18/start.htm,nd-4f-18,"344, 345, 347, 348, 349, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 373, 374, 375, 376, 377, 378, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 392, 393, 394, 395, 396, 397, 398, 400, 401, 403, 404, 405, 406, 407, 408, 409, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 493, 494, 508, 510, 512, 513, 514, 519, 520, 521, 524, 542, 543, 550, 551, 552, 553, 554, 555, 556, 558, 559, 562, 563, 564, 565, 566, 569, 571, 572, 573, 574, 576, 614, 615, 627","Libavius, Andreas: Alchymia AndreÃ¦ Libavii, Recognita, Emendata, Et aucta","Libavius, Andreas","Alchymia AndreÃ¦ Libavii, Recognita, Emendata, Et aucta",,Alchymia,,"Alchymia Andreæ Libavii, Recognita, Emendata, Et aucta, tum dogmatibus & experimentis nonnullis. Tvm Commentario Medico Physico Chymico: Qvi Exornatvs est Variis Instrumentorum Chymicorum picturis; partim aliunde translatis, partim planè nouis; ... Præmissa Defensione Artis Opposita censuræ Parisianæ: ...","Libavius, Andreas",Kopffius; [u.a.],Francofurti; [u.a.],1606,479977712,ok
http://diglib.hab.de/drucke/nd-779/start.htm,nd-779,"99, 102, 115, 174, 242","Dyas Chymica Tripartita, Das ist: Sechs Herrliche Teutsche Philosophische TractÃ¤tlein ... - Franckfurt am Mayn : Jennis, 1625","Dyas Chymica Tripartita, Das ist",Sechs Herrliche Teutsche Philosophische TractÃ¤tlein ...,Franckfurt am Mayn,Sechs,1625,"Dyas Chymica Tripartita, Das ist: Sechs Herrliche Teutsche
							Philosophische Tractätlein ...","Spring, Lampert; [u.a.]",Jennis,Franckfurt am Mayn,1625,331781247,ok
http://diglib.hab.de/drucke/nd-782-1/start.htm,nd-782-1,"922, 934, 938, 942, 946, 950",,,,,,,"Elementa Chemiae. Quae Anniversario Labore Docuit, In Publicis, Privatisque, Scholis Hermannus Boerhaave. Quae Anniversario Labore Docuit, In Publicis, Privatisque, Scholis Hermannus Boerhaave","Boerhaave, Hermannus",Imhof,Lugduni Batavorum,1732,471281573,ok
http://diglib.hab.de/drucke/nd-783/start.htm,nd-783,114,"Hartmann, Johann: Disputationes Chymico-Medicae","Hartmann, Johann",Disputationes Chymico-Medicae,,Disputationes,,Disputationes Chymico-Medicae,"Hartmann, Johann; [u.a.]",Egenolphus; [u.a.],Marpurgi; [u.a.],1614,092292224,ok
http://diglib.hab.de/drucke/oc-77-1/start.htm,oc-77-1,"6, 660, 661, 662, 663, 823, 1200, 1207, 1224",,,,,,,"Wieder Neu aufgerichtete und vergrösserte in Zwey Theilen angewiesene Curieuse Kunst- und Werck-Schul, .... Als I. die wahre Erkäntnus der Ertzen und Metallen/ ... II. Die schöne Form-Kunst/ ... III. Allerhand schöne Glas-Künste/ ... IV. Von denen natürlichen Edelgesteinen/ ... V. Allerley schöne ungemeine Chymische Secreta und Medicinalia, .... Als I. die wahre Erkäntnus der Ertzen und Metallen/ ... II. Die schöne Form-Kunst/ ... III. Allerhand schöne Glas-Künste/ ... IV. Von denen natürlichen Edelgesteinen/ ... V. Allerley schöne ungemeine Chymische Secreta und Medicinalia, .... Als I. die wahre Erkäntnus der Ertzen und Metallen/ ... II. Die schöne Form-Kunst/ ... III. Allerhand schöne Glas-Künste/ ... IV. Von denen natürlichen Edelgesteinen/ ... V. Allerley schöne ungemeine Chymische Secreta und Medicinalia, ...","Kunckel, Johann",Zieger,Nürnberg,1705,557553636,ok
http://diglib.hab.de/drucke/oc-77-2/start.htm,oc-77-2,"753, 847, 1231",,,,,,,Der Neu-aufgerichteten und Vergrösserten Jn Sechs Bücher oder Theilen verfasten curieusen Kunst- und Werck-Schul/ sehr verlangter nunmehr erfolgter Anderer Theil/. darinnen jedes Theils oder Buches Innhalt auf folgendem Blat zu ersehen:. darinnen jedes Theils oder Buches Innhalt auf folgendem Blat zu ersehen:. darinnen jedes Theils oder Buches Innhalt auf folgendem Blat zu ersehen:,"Kunckel, Johann",Zieger,Nürnberg,1707,557555302,ok
http://diglib.hab.de/drucke/od-215/start.htm,od-215,"34, 84, 88",,,,,,,"Johannis Kunckelii, Churfürstl. Brandenb. würcklich bestallt-geheimden Cammer-Dieners/ Ars Vitraria Experimentalis, Oder Vollkommene Glasmacher-Kunst/ Lehrende/ als in einem/ aus unbetrüglicher Erfahrung herfliessendem Commentario, über die von dergleichen Arbeit beschriebenen Sieben Bücher P. Anthonii Neri, von Florentz/ und denen darüber gethanen gelehrten Anmerckungen Christophori Merretti, M.D. & Societ. Reg. Brittann. Socii, (so aus den Jtal. und Latein. beyde mit Fleiß ins Hochdeutsche übersetzt) .... Samt einem II. Haupt-Theil/ so in drey unterschiedenen Büchern/ und mehr als 200. Experimenten bestehet/ darinnen vom Glasmahlen/ Vergulden und Brennen; Vom Holländischen Kunst- und Barcellan-Töpfferwerck, ... gelehret werden/ mit einem Anhange von denen Perlen und fast allen natürlichen Edelsteinen; ...","Kunckelius, Johannes",Autor; [u.a.],Leipzig; [u.a.],1679,519941195,ok
http://diglib.hab.de/drucke/od-216/start.htm,od-216,"83, 87, 91, 227, 229, 341, 345, 349, 353, 355, 371, 395, 443",,,,,,,"Johannis Kunckelii, Churfürstl. Brandenb. würcklich bestallt-geheimden Cammer-Dieners/ Ars Vitraria Experimentalis, Oder vollkommene Glasmacher-Kunst/ Lehrende/ Als in einem/ aus unbetrüglicher Erfahrung/ herfliessendem Commentario, über die von dergleichen Arbeit beschriebene sieben Bücher P. Anthonii Neri, von Florenz/ und denen darüber gethanen gelehrten Anmerckungen Christophori Merretti, M.D. & Societ. Reg. Britann. Socii, (so aus den Jtalien- und Lateinischen beyde mit Fleiß ins Hochteutsche übersetzt) .... Samt einem II. Haupt-Theil. So in drey unterschiedenen Büchern/ und mehr als 200. Experimenten bestehet/ darinnen vom Glasmahlen/ vergulden und Brennen; vom Holländischen Kunst- und Barcellan-Töpfferwerck, ... gelehret werden/ mit einem Anhange von denen Perlen und fast allen natürlichen Edelsteinen; ...","Kunckelius, Johannes",Riegel,Nürnberg,1689,590388193,ok
http://diglib.hab.de/drucke/oe-238/start.htm,oe-238,82,,,,,,,"Entdeckte Grufft natürlicher Geheimnüsse, Das ist: Gewisse und richtige, nicht in blosser Speculation bestehende, sondern durch viele und offtmahlige Experimenta bewährte Künste, die Land-Güter mercklich zu verbessern, den Ackersmann reich zu machen, und zu allem Ueberfluss zu verhelffen ...","Bilderbeck, Christoph Lorenz",Martini,Lejpzjg,1727,82916491X,ok
http://diglib.hab.de/drucke/wa-2f-98/start.htm,wa-2f-98,10,,,,,,,Aufgang der Artzney-Kunst/ Das ist: Noch nie erhörte Grund-Lehren von der Natur/ zu einer neuen Beförderung der Artzney-Sachen/ so wol Die Kranckheiten zu vertreiben/ als Ein langes Leben zu erlangen,"Helmont, Jan Baptista van; [u.a.]",Endter; [u.a.],[Nürnberg]; [u.a.],1683,536302189,ok
http://diglib.hab.de/drucke/xb-12f-161/start.htm,xb-12f-161,"75, 81, 120, 126, 140",,,,,,,"Fratris Basilii Valentini Benedicter Ordens/ Tractat. Von dem grossen Stein der Uhralten. daran so viel tausendt Meister Anfangs der Welt hero gemacht haben: I. Nebenst seiner selbst eigenen klaren repetition ... II. De Microcosmo, oder der kleinen Welt des Menschen. III. Von der grossen Heimligkeit der Welt/ und ihrer Artzney/ ... IV. Von der Wissenschaft ... der sieben Planeten. daran so viel tausendt Meister Anfangs der Welt hero gemacht haben: I. Nebenst seiner selbst eigenen klaren repetition ... II. De Microcosmo, oder der kleinen Welt des Menschen. III. Von der grossen Heimligkeit der Welt/ und ihrer Artzney/ ... IV. Von der Wissenschaft ... der sieben Planeten","Valentinus, Basilius",Voigt,[Leipzig],1626,86081159X,ok
http://diglib.hab.de/drucke/xb-149-1s/start.htm,xb-149-1s,"439, 517",,,,,,,"Der Curieusen Kunst- und Werck-Schul ... Theil. Lehrend allerhand sehr nützliche und bewährte Feuer-Künste/ Metallische Gold- und Silber-Proben/ Perlen/ Flüsse/ Doubletten und Folien, der Natur ähnlich ... Sampt vielen andern Natur- und Kunst-Geheimnussen; Theils aus eigener langwieriger Erfahrung/ theils aus vielen bewährten Authoribus getreulich ... getragen. Lehrend allerhand sehr nützliche und bewährte Feuer-Künste/ Metallische Gold- und Silber-Proben/ Perlen/ Flüsse/ Doubletten und Folien, der Natur ähnlich ... Sampt vielen andern Natur- und Kunst-Geheimnussen; Theils aus eigener langwieriger Erfahrung/ theils aus vielen bewährten Authoribus getreulich ... getragen. Lehrend allerhand sehr nützliche und bewährte Feuer-Künste/ Metallische Gold- und Silber-Proben/ Perlen/ Flüsse/ Doubletten und Folien, der Natur ähnlich ... Sampt vielen andern Natur- und Kunst-Geheimnussen; Theils aus eigener langwieriger Erfahrung/ theils aus vielen bewährten Authoribus getreulich ... getragen. Lehrend allerhand sehr nützliche und bewährte Feuer-Künste/ Metallische Gold- und Silber-Proben/ Perlen/ Flüsse/ Doubletten und Folien, der Natur ähnlich ... Sampt vielen andern Natur- und Kunst-Geheimnussen; Theils aus eigener langwieriger Erfahrung/ theils aus vielen bewährten Authoribus getreulich ... getragen",,Zieger; [u.a.],Nürnberg; [u.a.],1696,535528213,ok
http://diglib.hab.de/drucke/xb-1648/start.htm,xb-1648,"39, 41",,,,,,,,,,,,,ok
http://diglib.hab.de/drucke/xb-1806/start.htm,xb-1806,5,,,,,,,"Adriani Ziegleri, Tigurini, Pharmacopoea Spagyrica: Continens selectissima remedia Chymica. desumpta ex Basilica Chymica Oswaldi Crolli: Pharmacopoea dogmatica restituta Josephi Quercetani, & ex aliis Authorib. Chymico-Medicis .... desumpta ex Basilica Chymica Oswaldi Crolli: Pharmacopoea dogmatica restituta Josephi Quercetani, & ex aliis Authorib. Chymico-Medicis ...","Ziegler, Adrian; [u.a.]",Typis Bodmerianis; [u.a.],[Zürich]; [u.a.],1628,536897867,ok
http://diglib.hab.de/drucke/xb-2146-2s/start.htm,xb-2146-2s,65,,,,,,,Lapis Mineralis Oder Die höchste Artzney/ Auß Denen Metallen und Mineralien/ Absonderlich dem Vitriolo,,Dolhopff,Straßburg,1681,860791564,ok
http://diglib.hab.de/drucke/xb-3135/start.htm,xb-3135,8,,,,,,,"Hadriani a Mynsicht alias Tribudenii, ... Thesaurus Et Armamentarium Medico-Chymicum. Hoc est Selectißimorum, contra quosuis morbos, pharmacorum conficiendorum secretissima ratio. Propria laborum experienta, multiplici & felicissima praxi confirmata .... Propria laborum experienta, multiplici & felicissima praxi confirmata ...","Mynsicht, Adrian von; [u.a.]",Schernwebelius; [u.a.],Lubecae; [u.a.],1638,09231595X,ok
http://diglib.hab.de/drucke/xb-3534/start.htm,xb-3534,9,"Croll, Oswald: Osualdi Crolli Veterani Hassi Basilica Chymica","Croll, Oswald",Osualdi Crolli Veterani Hassi Basilica Chymica,,Osualdi,,"Osualdi Crolli Veterani Hassi Basilica Chymica. Cum Notis Hartmanni, Et praxi Chymiatrica ; Philosophicam propriâ laborum experientiâ consu matam descriptionem & usum Remediorum Chymicorum Selectissimorum .... Cum Notis Hartmanni, Et praxi Chymiatrica ; Philosophicam propriâ laborum experientiâ consu matam descriptionem & usum Remediorum Chymicorum Selectissimorum ...","Croll, Oswald; [u.a.]",Schonwetterus; [u.a.],Francofurti; [u.a.],1647,536717818,ok
http://diglib.hab.de/drucke/xb-3832/start.htm,xb-3832,"91, 95, 103, 119, 139, 143",,,,,,,"Gebri, Regis Arabum Philosophi Perspicacissimi, Summa perfectionis Magisterii in sua natura. Ex Bibliothecae Vaticanae Exemplari undecunq[ue] emendatissimo edita .... Ex Bibliothecae Vaticanae Exemplari undecunq[ue] emendatissimo edita ...",,Tancke; [u.a.],Gedani; [u.a.],1682,536129029,ok
http://diglib.hab.de/drucke/xb-4679-2s/start.htm,xb-4679-2s,"19, 23, 25, 29, 33, 36, 37, 42, 584",,,,,,,"D. Stephan Blancards Theatrum Chimicum Oder Eröffneter Schau-Platz und Thür zu den Heimligkeiten In der Scheide-Kunst. Von Denen berühmtesten Män[n]ern/ die jemals in der Scheide-Kunst ... davon geschrieben/ als Schröder, Angelus Sala, Rolfinck, Le Febure, Crollius, Charras, Beguin und andern ... ins Gesichte gestellet","Blancard, Stephan",Gleditsch,Leipzig,1694,610346857,ok
http://diglib.hab.de/drucke/xb-4819/start.htm,xb-4819,"7, 8, 9, 12, 14, 15, 19, 20, 23, 268",Alchymistische Practic: Das ist Von kÃ¼nstlicher Zubereytung der vornembsten Chymischen Medicinen,Alchymistische Practic,Das ist Von kÃ¼nstlicher Zubereytung der vornembsten Chymischen Medicinen,,Das,,Alchymistische Practic: Das ist/ Von künstlicher Zubereytung der vornembsten Chymischen Medicinen. In zweyen Tractätlein klärlich entdecket: Deren das Erste/ Von destillirten Wassern/ Öhlen/ Saltzen/ Extracten ... Auß den vegetabilibus animalibus und mineralibus: zu allerley Innerlichen und Eusserlichen Artzneyen ... zubereiten: von einem unbekanten Artisten ... beschrieben: Das Ander/ Vom Lapide Philosophorum: Wie derselbe künstlich soll gemacht werden ... eigentlich unnd deutlich also gelehret/ daß dergleichen zuvor wissentlich niemals im Truck gesehen worden. In zweyen Tractätlein klärlich entdecket: Deren das Erste/ Von destillirten Wassern/ Öhlen/ Saltzen/ Extracten ... Auß den vegetabilibus animalibus und mineralibus: zu allerley Innerlichen und Eusserlichen Artzneyen ... zubereiten: von einem unbekanten Artisten ... beschrieben: Das Ander/ Vom Lapide Philosophorum: Wie derselbe künstlich soll gemacht werden ... eigentlich unnd deutlich also gelehret/ daß dergleichen zuvor wissentlich niemals im Truck gesehen worden. In zweyen Tractätlein klärlich entdecket: Deren das Erste/ Von destillirten Wassern/ Öhlen/ Saltzen/ Extracten ... Auß den vegetabilibus animalibus und mineralibus: zu allerley Innerlichen und Eusserlichen Artzneyen ... zubereiten: von einem unbekanten Artisten ... beschrieben: Das Ander/ Vom Lapide Philosophorum: Wie derselbe künstlich soll gemacht werden ... eigentlich unnd deutlich also gelehret/ daß dergleichen zuvor wissentlich niemals im Truck gesehen worden,,Kopff; [u.a.],Franckfort am Mayn; [u.a.],1603,092140904,ok
http://diglib.hab.de/drucke/xb-4f-8-2/start.htm,xb-4f-8-2,"29, 30, 31, 192, 193",,,,,,,"[Utriusque Cosmi Maioris scilicet et Minoris Metaphysica, Physica Atqve Technica Historia. in partes undecim divisa. In duo Volumina secundum Cosmi differentiam diuisa. In duo Volumina secundum Cosmi differentiam diuisa. In duo Volumina secundum Cosmi differentiam diuisa","Fludd, Robertus",Bry; [u.a.],Oppenheimio; [u.a.],1618,537377018,ok
http://diglib.hab.de/drucke/xb-6197-2s/start.htm,xb-6197-2s,"301, 302, 304, 307, 413",,,,,,,"Medicina Experimentalis Digbaeana, Das ist: Außerlesene und bewährte Artzney-Mittel ... Theil","Digby, Kenelm; [u.a.]",Bencard; [u.a.],Franckfurt am Mäyn; [u.a.],1687,535989512,ok
http://diglib.hab.de/drucke/xb-7748/start.htm,xb-7748,136,,,,,,,"Aperta Arca Arcani Artificiossimi Das ist: Eröffneter und offenstehender Kasten der allergrösten und künstlichsten Geheimnüssen der Natur/ des Grossen und Kleinen Bauers. Beneben der rechten und warhafftigen Physica Naturali Rotunda, durch eine Visionem Chymicam Cabalisticam gantz verständlich beschrieben. Beneben der rechten und warhafftigen Physica Naturali Rotunda, durch eine Visionem Chymicam Cabalisticam gantz verständlich beschrieben","Grasshoff, Johann",Müller; [u.a.],[Breslau]; [u.a.],1658,860811123,ok
http://diglib.hab.de/drucke/xb-7884/start.htm,xb-7884,20,,,,,,,Warhafftiger Bericht Vom Philosophischen Athanore; Auch Brauch und Nutz desselbigen,"Khunrath, Heinrich; [u.a.]",Autor; [u.a.],[S.l.]; [u.a.],1615,537297111,ok
http://diglib.hab.de/drucke/xb-7887/start.htm,xb-7887,"9, 10, 11, 12, 13, 14, 15, 16, 17, 45, 53, 69, 71, 76, 86, 118",,,,,,,"Alchimia, Das ist/ Alle Farben/ Wasser/ Olea, Salia, und Alumina, damit man alle Corpora, Spiritus und Calces Praeparirt/ Sublimirt und Fixirt/ zubereyten. Und wie man diese ding nutze/ auff daß Sol und Luna werden möge ; Auch von Solviren und Scheidung aller Metall/ Polierung allerhand Edelgestein ... [et]c.. Und wie man diese ding nutze/ auff daß Sol und Luna werden möge ; Auch von Solviren und Scheidung aller Metall/ Polierung allerhand Edelgestein ... [et]c.. Und wie man diese ding nutze/ auff daß Sol und Luna werden möge ; Auch von Solviren und Scheidung aller Metall/ Polierung allerhand Edelgestein ... [et]c.","Kerzenmacher, Peter; [u.a.]",Steinmeyer; [u.a.],Franckfurt am Mayn; [u.a.],1613,535678282,ok
http://diglib.hab.de/drucke/xb-7953/start.htm,xb-7953,21,,,,,,,De Lapide Philosophico: Das ist von dem Gebenedeyten Stein der Weysen oder Chemia. Zu gründlichem  unnd warhafftigem Bericht/ allen Werden Liebhabern/ der Waren/ Edlen und Reinen Kunst Chemiae ... geschrieben. Zu gründlichem  unnd warhafftigem Bericht/ allen Werden Liebhabern/ der Waren/ Edlen und Reinen Kunst Chemiae ... geschrieben. Zu gründlichem  unnd warhafftigem Bericht/ allen Werden Liebhabern/ der Waren/ Edlen und Reinen Kunst Chemiae ... geschrieben,"Hildebrandt, Johann Bernhard; [u.a.]",Krusicke; [u.a.],Hall in Sachsen; [u.a.],1618,536904944,ok
http://diglib.hab.de/drucke/xb-88-1/start.htm,xb-88-1,"235, 259, 277",,,,,,,Johannis Rudolphi Glauberi Philosophi &amp; Medici Celeberrimi Opera Chymica. Bücher vnd Schrifften/ so viel deren von ihme bißhero an Tag gegeben worden; Jetzo von neuem mit Fleiß übersehen/ auch mit etlichen neuen Tractaten vermehret ... Bücher vnd Schrifften/ so viel deren von ihme bißhero an Tag gegeben worden; Jetzo von neuem mit Fleiß übersehen/ auch mit etlichen neuen Tractaten vermehret ..,"Glauberus, Johannes Rudolphus",Götze,Franckfurt am Mäyn,1658,539980811,ok
