source_id,source_collection,source_file,dataset_split,short_title,short_title_inferred,long_title,bibliographic_description,author_original,author_scraped,author_manual,author_resolved,author_normalized,author_normalized_inferred,author_likely_identical_shared,year_original,year_scraped,year_manual,year_resolved,year_normalized,decade,century,publisher_original,publisher_scraped,publisher_manual,publisher_resolved,publisher_normalized,publisher_normalized_inferred,publisher_likely_identical_shared,place_original,place_scraped,place_manual,place_resolved,place_normalized,place_normalized_inferred,language_original,language_normalized,language_inferred,short_title_likely_identical_shared,likely_identical_notes,normalization_notes_inferred,url,signature,signature_link,scraped_ppn,scrape_status,page_numbers_included,pages_included_count,pdf_total_pages,comments,metadata_completeness
Monferrato1559-Pirotechnia,CHR2023,CHR2023-corpus-train,train,Pirotechnia,Pirotechnia,Pirotechnia,,"Biringuccio, Vannoccio",,,"Biringuccio, Vannoccio",Vannoccio Biringuccio,Vannoccio Biringuccio,,1559,,,1559,1559,1550s,16th c.,"Comin da Trino di Monferrato : Navo, Curzio Troiano de",,,"Comin da Trino di Monferrato : Navo, Curzio Troiano de","Comin da Trino di Monferrato : Navo, Curzio Troiano de","Comin da Trino di Monferrato : Navo, Curzio Troiano de",,Vinegia / Venice,,,Vinegia / Venice,Venice,Venice,IT,Italian,Italian,Pirotechnia,short-title/work variant grouped with cognate edition/translation,, http://data.onb.ac.at/rep/10727526 ,,,,,,,361,"einige Geräte, aber eher in Laborszenen. Da es um Feuer geht auch Blasebälger (?) etc",complete
Agricola1561-DeReMetallica,CHR2023,CHR2023-corpus-train,train,De Re Metallica,De Re Metallica Libri XII,"De Re Metallica Libri XII. Qvibvs Officia, Instrvmenta, Machinae, Ac Omnia Denique ad Metallicam spectantia, non modò luculentißimè describuntur, sed & per effigies ... ob oculos ponuntur ... Eivsdem De Animantibvs Svbterraneis Liber ... omnibus nunc iterum ad archetypum diligenter restitutis & castigatis",,"Agricola, Georg",,,"Agricola, Georg",Georg Agricola,Georg Agricola,,1561,,,1561,1561,1560s,16th c.," In Officina Frobeniana, Per Hier. Frobenivm Et Nic. Episcopivm",,,"In Officina Frobeniana, Per Hier. Frobenivm Et Nic. Episcopivm","In Officina Frobeniana, Per Hier. Frobenivm Et Nic. Episcopivm","In Officina Frobeniana, Per Hier. Frobenivm Et Nic. Episcopivm",,Basileae / Basel ,,,Basileae / Basel,Basel,Basel,LAT,Latin,Latin,De re metallica / Vom Bergkwerck,short-title/work variant grouped with cognate edition/translation,title contains OCR/line-break artefacts; short title inferred from opening segment,http://data.onb.ac.at/rep/10B29699 ,,,,,,,604,"Bergwerksszenen, tendenziell komplexere Szenen statt Einzelobjekten, vieles ist sicherlich nicht direkt alchemisch, aber irgendwie related, einzelne enthalten aber auch die für dieses Korpus ""typischen"" Darstellungen / Objekte (allerdings nie einzeln, sondern als Teil einer Szenerie)",complete
Distilierbuch1565,CHR2023,CHR2023-corpus-train,train,Distilierbuch der rechten Kunst,"Distilierbuch der rechten Kunst, Neuwe vnd gemein Distillier vnd Brennöfen, mit aller zugehörender bereitschafft zu machen, aß allen Kreutern die Wasser zu brennen vnnd Distilliere","Distilierbuch der rechten Kunst, Neuwe vnd gemein Distillier vnd Brennöfen, mit aller zugehörender bereitschafft zu machen, aß allen Kreutern die Wasser zu brennen vnnd Distillieren (etc.)",,"Brunschwig, Hieronymus",,,"Brunschwig, Hieronymus",Hieronymus Brunschwig,Hieronymus Brunschwig,,1565,,,1565,1565,1560s,16th c.,Weygand Hanen Erben,,,Weygand Hanen Erben,Weygand Hanen Erben,Weygand Hanen Erben,,Franckfurt am Mayn / Frankfurt am Main,,,Franckfurt am Mayn / Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,DE,German,German,Das nüwe distilier buoch / Distilierbuch,short-title/work variant grouped with cognate edition/translation,title contains OCR/line-break artefacts,http://data.onb.ac.at/rep/1084C642,,,,,,,273,"anfangs Destillationsgeräte, dann Pflanzen, dann Varia (Tiere, Metallurgie etc)",complete
46-2-med-1s,HAB,hab-dataset-img-metadata,,"MEDICI LIBELLI, Des hocherfarnesten Herrn THEOPHRASTI PARACEL= SI, beyder Artzeney Doctoris/ vorhin niemals in Truck aus- gangen. Physionomia morborum. De Terebinthina & vtroq; Hel","MEDICI LIBELLI, Des hocherfarnesten Herrn THEOPHRASTI PARACEL= SI, beyder Artzeney Doctoris/ vorhin niemals in Truck aus- gangen. Physionomia morborum. De Terebinthina & vtroq; Hel","MEDICI LIBELLI,|| Des hocherfarnesten || Herrn THEOPHRASTI PARACEL=||SI, beyder Artzeney Doctoris/ vorhin || niemals in Truck aus-||gangen.|| Physionomia morborum.|| De Terebinthina & vtroq; Helleboro.|| Liber secundus de Caduco Matricis.|| De Peste Commentarius.|| Fragmentum aliud de Peste.|| De ligno Guaiaco.|| Explicatio aliquot Aphorismorum Hip-||pocratis.|| ... ||[Hrsg.v.(Balthassar Floeter ||)]",,,,,,,,,,1567,,1567,1567,1560s,16th c.,,"Birckmann, Arnold d.Ä. (Erben)",,"Birckmann, Arnold d.Ä. (Erben)","Birckmann, Arnold d.Ä. (Erben)","Birckmann, Arnold d.Ä. (Erben)",,,Köln,,Köln,Cologne,Köln,,Latin,Latin,,,author normalisation/attribution suggested; place normalisation suggested; title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/46-2-med-1s/start.htm,46-2-med-1s,http://diglib.hab.de/drucke/46-2-med-1s/start.htm,85749838X,ok,3,1,,,partial
Campesii1572-Coelum,CHR2023,CHR2023-corpus-train,train,Coelum philosophorum,"Coelum philosophorum, seu liber de secretis naturae; adcessit: Joan","Coelum philosophorum, seu liber de secretis naturae; adcessit: Joan. Anto. Campesii Directorium Summae summarum Medicinae. Nunc autem recens ... Rosarium Philosophorum Arnaldi de Villanova",,"Ulsted, Philipp & Johannes Antonius et al.
 ",,,"Ulsted, Philipp & Johannes Antonius et al.",Philipp Ulsted; Johannes Antonius et al.,Philippus Ulstad; Johannes Antonius Campesius; Arnaldus de Villanova,Philippus Ulstad,1572,,,1572,1572,1570s,16th c.,Guilielmus Rovillius,,,Guilielmus Rovillius,Guilielmus Rovillius,Guilielmus Rovillius,,Lugduni / Lyon,,,Lugduni / Lyon,Lyon,Lyon,LAT,Latin,Latin,Coelum philosophorum,"author variant in dataset: Philippus Ulstad, Philippus Ulstad; Johannes Antonius Campesius; Arnaldus de Villanova; short-title/work variant grouped with cognate edition/translation",author normalisation/attribution suggested,http://data.onb.ac.at/rep/1086E9DB,,,,,,,679,v.a. anfangs einige Laborgeräte ,complete
30-med-2f-1s,HAB,hab-dataset-img-metadata,,Bebai?sis ag?nismu. Das ist Confirmatio Concer= tationis/ oder ein Bestettigung deß Jenigen so Streittig/ Häderig/ oder Zenckisch ist/ wie dann auß vnuerstandt die Neuwe vnd vor vn,Bebai?sis ag?nismu. Das ist Confirmatio Concer= tationis/ oder ein Bestettigung deß Jenigen so Streittig/ Häderig/ oder Zenckisch ist/ wie dann auß vnuerstandt die Neuwe vnd vor vn,Bebai?sis ag?nismu.|| Das ist Confirmatio Concer=||tationis/ oder ein Bestettigung deß Jenigen so || Streittig/ Häderig/ oder Zenckisch ist/ wie dann auß vnuerstandt || die Neuwe vnd vor vnerhörte erfindung der aller Nützlichest~e vnd Menschlichem || geschlecht der Notturftigesten kunst dess Harnnprobirens || ein zeitlang gewest ist.|| Welcher Kunst Grundt vnd Fundament hierin || durch den Inuentorem Leonharten Thurneisser zum Thurn Chur=||fürstischen Brandenburgischen bestalten Leibs Medicum ausfuerlich ... || Zu Ehren vnd Wolgefallen dem Durchleüchtigen Fürsten vnd || Herren/ Herrn Gotthardten Jn Liflandt zu Curlandt vnd Semigalen Her=||tzogen ... in Dreyzehen kurtzer Büecher || an tag geben.||,,,"Thurneysser zum Thurn, Leonhardt",,"Thurneysser zum Thurn, Leonhardt",Leonhardt Thurneysser zum Thurn,Leonhardt Thurneysser zum Thurn,Leonhard Thurneysser zum Thurn,,1576,,1576,1576,1570s,16th c.,,"Thurneisser, Leonhard",,"Thurneisser, Leonhard","Thurneisser, Leonhard","Thurneisser, Leonhard",,,Berlin,,Berlin,Berlin,Berlin,,German,German,,"author variant in dataset: Leonhard Thurneysser zum Thurn, Leonhardt Thurneysser zum Thurn",title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/30-med-2f-1s/start.htm,30-med-2f-1s,http://diglib.hab.de/drucke/30-med-2f-1s/start.htm,82933839X,ok,"68, 81, 82, 87, 212, 228",6,,,complete
Thurneysser1587-Historia,CHR2023,CHR2023-corpus-eval,eval,Historia sive Descriptio Plantarum Omnium,,"Historia sive descriptio plantarum omnium, tam domesticorum quam exoticarum earundem cum virtutes influentiales, elementares et naturales, tum subtilitates, necnon icones etiam veras, ad vivum artificiose expressas proponens ...",,"Thurneysser zum Thurn, Leonhard",,,"Thurneysser zum Thurn, Leonhard",Leonhard Thurneysser zum Thurn,,,1578,,,1578,1578,1570s,16th c.,?,,,?,?,,,Berlini / Berlin,,,Berlini / Berlin,Berlin,,LAT,Latin,,,,,,,,,,,,193,"absolutes Luxusbuch, enthält dekorative Icons (!), oft mit Laborgeräten ",complete
26-8-med-2s,HAB,hab-dataset-img-metadata,,Hieronymi Rvbei Ravenn,Hieronymi Rvbei Ravenn,"Hieronymi Rvbei Ravenn. De Destillatione Liber. In quo Stillatitiorum liquorum, qui ad medicinam faciunt, methodus ac vires explicantur: Et Chemic[a]e artis veritas, ratione, & experimento comprobatur",,,"Rubeus, Hieronymus",,"Rubeus, Hieronymus",Hieronymus Rubeus,Hieronymus Rubeus,,,1582,,1582,1582,1580s,16th c.,,Thebaldini,,Thebaldini,Thebaldini,Thebaldini,,,Ravennae,,Ravennae,Ravenna,Ravenna,,Latin,Latin,,,,http://diglib.hab.de/drucke/26-8-med-2s/start.htm,26-8-med-2s,http://diglib.hab.de/drucke/26-8-med-2s/start.htm,813121841,ok,"26, 33, 47, 50, 154",5,,,complete
552-22-quod,HAB,hab-dataset-img-metadata,,I Secreti Della Signora Isabella Cortese,I Secreti Della Signora Isabella Cortese,"I Secreti Della Signora Isabella Cortese. Ne'Qvali Si Contengono cose minerali, medecinali, arteficiose, & Alchimiche. Et Molto De L'Arte Profvmatoria, appartenenti a ogni gran Signora ; Con altri belissimi Secreti aggiunti",,,"Cortese, Isabella",,"Cortese, Isabella",Isabella Cortese,Isabella Cortese,,,1584,,1584,1584,1580s,16th c.,,Cornetti,,Cornetti,Cornetti,Cornetti,,,Venetia,,Venetia,Venice,Venice,,Italian,Italian,,,,http://diglib.hab.de/drucke/552-22-quod/start.htm,552-22-quod,http://diglib.hab.de/drucke/552-22-quod/start.htm,816070008,ok,"48, 70, 77, 206",4,,,complete
Kerzenmacher1589-Alchimia,CHR2023,CHR2023-corpus-train,train,Alle Farben Wasser,"Alchimia, Das ist alle Farben Wasser, Olea, Salia, unnd Alvmina, damit man alle Corpora, Spiritvs unnd Calces prepariert, Sublimieret unnd fixiert, zubereyten","Alchimia, Das ist alle Farben Wasser, Olea, Salia, unnd Alvmina, damit man alle Corpora, Spiritvs unnd Calces prepariert, Sublimieret unnd fixiert, zubereyten. Und wie man diese Ding nutze, auff daß Sol vnd Lvna werden möge",,"Kerzenmacher, Peter",,,"Kerzenmacher, Peter",Peter Kerzenmacher,Peter Kerzenmacher,,1589,,,1589,1589,1580s,16th c.,Egenolff,,,Egenolff,Egenolff,Egenolff,Christian Egenolff / Egenolff heirs,"München / Munich, Frankfurt am Mayn / Frankfurt am Main",,,"München / Munich, Frankfurt am Mayn / Frankfurt am Main",Frankfurt am Main,Frankfurt am Main,DE,German,German,Alchimia,"publisher variant in dataset: Egenolff, Christian Egenolff, Christian Egenolff Erben, Christian Egenolffs Erben; short-title/work variant grouped with cognate edition/translation",,https://digital.deutsches-museum.de/de/digital-catalogue/library-object/BV020856683/#12,,,,,,,164,nicht übertrieben viele Laborgeräte,complete
74-phys,HAB,hab-dataset-img-metadata,,IO,IO,"IO. BAPTISTAE || PORTAE NEAPOLITA-||NI, MAGIAE NATVRALIS || LIBRI VIGINTI.|| Ab ipso quidem authore ante biennium ad-||aucti, nunc verò ab infinitis, quibus editio il-||la scatebat mendis, optimè repurgati: in qui-||bus scientiarum Naturalium diuitiae & deli-||ciae demonstrantur.|| Acceßit INDEX ... ||",,,"Della Porta, Giambattista",,"Della Porta, Giambattista",Giambattista Della Porta,Giambattista Della Porta,Giambattista della Porta,,1591,,1591,1591,1590s,16th c.,,"Marne, Claude de und Aubry, Johann",,"Marne, Claude de und Aubry, Johann","Marne, Claude de und Aubry, Johann","Marne, Claude de und Aubry, Johann",,,Frankfurt/Main,,Frankfurt/Main,Frankfurt am Main,Frankfurt am Main,,French,French,Magia naturalis,"author variant in dataset: Giambattista Della Porta, Giambattista della Porta; short-title/work variant grouped with cognate edition/translation",title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/74-phys/start.htm,74-phys,http://diglib.hab.de/drucke/74-phys/start.htm,834819864,ok,"446, 454, 456, 661",4,,,complete
Bruschwig1597-New-OeNB,CHR2023,CHR2023-corpus-train,train,New Vollkommen Distillierbuch,New Vollkommen Distillierbuch Wolgegründter künstlicher Distillation u.s.w,"New Vollkommen Distillierbuch Wolgegründter künstlicher Distillation u.s.w. Erstlich durch Hieronymum Braunschweigk in Truck gegeben, hernach durch Gualtherum Ryff, jetzt aber uber beyder Edition durch einen diser Künsten liebhaber corrigiert und gemehret",,"Brunschwig, Hieronymus & Ryff, Walther Hermann",,,"Brunschwig, Hieronymus & Ryff, Walther Hermann",Hieronymus Brunschwig; Walther Hermann Ryff,Hieronymus Brunschwig; Walther Hermann Ryff,,1597,,,1597,1597,1590s,16th c.,Christian Egenolffs Erben,,,Christian Egenolffs Erben,Christian Egenolffs Erben,Christian Egenolffs Erben,Christian Egenolff / Egenolff heirs,Franckfurt a. M. / Frankfurt am Main,,,Franckfurt a. M. / Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,DE,German,German,Großes Distillierbuch,"publisher variant in dataset: Egenolff, Christian Egenolff, Christian Egenolff Erben, Christian Egenolffs Erben; short-title/work variant grouped with cognate edition/translation",title contains OCR/line-break artefacts; short title inferred from opening segment,http://data.onb.ac.at/rep/10A5871B ,,,,,,,453,"Anfangs viele detaillierte Destillationsapparaturen, später viele und sehr schön ausgeführte Pflanzen (deutlicher schöner als in der früheren englischen Version, die eher nach Holzschnitt aussieht, weil gröber)",complete
Ercker1598-Aula,CHR2023,CHR2023-corpus-train,train,Aula Subterranea,"Beschreibung, Allerfurnemisten Mineralischen Ertzt vnnd Bergkwercks arten","Beschreibung, Allerfurnemisten Mineralischen Ertzt vnnd Bergkwercks arten",,"Ercker, Lazarus",,,"Ercker, Lazarus",Lazarus Ercker,Lazarus Ercker,,1598,,,1598,1598,1590s,16th c.,Johan Feyerabendt,,,Johan Feyerabendt,Johan Feyerabendt,Johan Feyerabendt,,Franckfurt am Mayn / Frankfurt am Main,,,Franckfurt am Mayn / Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,DE,German,German,,,,http://data.onb.ac.at/rep/104A2CBD,,,,,,,295,"Metallurgie und Dokimasie, war Standardwerk, dessen Prozesse man tatsächlich nachstellen kann (für Praktiker gedacht), es enthält Bilder von unterschiedlichen Typen von Geräten und ganze Szenerien ",complete
xb-4819,HAB,hab-dataset-img-metadata,,Alchymistische Practic: Das ist/ Von künstlicher Zubereytung der vornembsten Chymischen Medicinen,Alchymistische Practic: Das ist/ Von künstlicher Zubereytung der vornembsten Chymischen Medicinen,Alchymistische Practic: Das ist/ Von künstlicher Zubereytung der vornembsten Chymischen Medicinen. In zweyen Tractätlein klärlich entdecket: Deren das Erste/ Von destillirten Wassern/ Öhlen/ Saltzen/ Extracten ... Auß den vegetabilibus animalibus und mineralibus: zu allerley Innerlichen und Eusserlichen Artzneyen ... zubereiten: von einem unbekanten Artisten ... beschrieben: Das Ander/ Vom Lapide Philosophorum: Wie derselbe künstlich soll gemacht werden ... eigentlich unnd deutlich also gelehret/ daß dergleichen zuvor wissentlich niemals im Truck gesehen worden. In zweyen Tractätlein klärlich entdecket: Deren das Erste/ Von destillirten Wassern/ Öhlen/ Saltzen/ Extracten ... Auß den vegetabilibus animalibus und mineralibus: zu allerley Innerlichen und Eusserlichen Artzneyen ... zubereiten: von einem unbekanten Artisten ... beschrieben: Das Ander/ Vom Lapide Philosophorum: Wie derselbe künstlich soll gemacht werden ... eigentlich unnd deutlich also gelehret/ daß dergleichen zuvor wissentlich niemals im Truck gesehen worden. In zweyen Tractätlein klärlich entdecket: Deren das Erste/ Von destillirten Wassern/ Öhlen/ Saltzen/ Extracten ... Auß den vegetabilibus animalibus und mineralibus: zu allerley Innerlichen und Eusserlichen Artzneyen ... zubereiten: von einem unbekanten Artisten ... beschrieben: Das Ander/ Vom Lapide Philosophorum: Wie derselbe künstlich soll gemacht werden ... eigentlich unnd deutlich also gelehret/ daß dergleichen zuvor wissentlich niemals im Truck gesehen worden,Alchymistische Practic: Das ist Von kÃ¼nstlicher Zubereytung der vornembsten Chymischen Medicinen,Alchymistische Practic,,,Alchymistische Practic,Alchymistische Practic,Alchymistische Practic,,,1603,,1603,1603,1600s,17th c.,Das,Kopff; [u.a.],,Kopff,Kopff,Nikolaus Kopf,Nikolaus Kopf,,Franckfort am Mayn; [u.a.],,Franckfort am Mayn,Frankfurt am Main,Frankfurt am Main,,German + Latin,German + Latin,,"publisher variant in dataset: Nikolaus Kopf, Kopffius",publisher normalisation suggested; title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/xb-4819/start.htm,xb-4819,http://diglib.hab.de/drucke/xb-4819/start.htm,092140904,ok,"7, 8, 9, 12, 14, 15, 19, 20, 23, 268",10,,,complete
nd-4f-18,HAB,hab-dataset-img-metadata,,"Alchymia Andreæ Libavii, Recognita, Emendata, Et aucta, tum dogmatibus & experimentis nonnullis","Alchymia Andreæ Libavii, Recognita, Emendata, Et aucta, tum dogmatibus & experimentis nonnullis","Alchymia Andreæ Libavii, Recognita, Emendata, Et aucta, tum dogmatibus & experimentis nonnullis. Tvm Commentario Medico Physico Chymico: Qvi Exornatvs est Variis Instrumentorum Chymicorum picturis; partim aliunde translatis, partim planè nouis; ... Præmissa Defensione Artis Opposita censuræ Parisianæ: ...","Libavius, Andreas: Alchymia AndreÃ¦ Libavii, Recognita, Emendata, Et aucta","Libavius, Andreas","Libavius, Andreas",,"Libavius, Andreas",Andreas Libavius,Andreas Libavius,,,1606,,1606,1606,1600s,17th c.,Alchymia,Kopffius; [u.a.],,Kopffius,Kopffius,Nikolaus Kopf,Nikolaus Kopf,,Francofurti; [u.a.],,Francofurti,Frankfurt am Main,Frankfurt am Main,,Latin,Latin,,"publisher variant in dataset: Nikolaus Kopf, Kopffius",publisher normalisation suggested; title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/nd-4f-18/start.htm,nd-4f-18,http://diglib.hab.de/drucke/nd-4f-18/start.htm,479977712,ok,"344, 345, 347, 348, 349, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 373, 374, 375, 376, 377, 378, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 392, 393, 394, 395, 396, 397, 398, 400, 401, 403, 404, 405, 406, 407, 408, 409, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 493, 494, 508, 510, 512, 513, 514, 519, 520, 521, 524, 542, 543, 550, 551, 552, 553, 554, 555, 556, 558, 559, 562, 563, 564, 565, 566, 569, 571, 572, 573, 574, 576, 614, 615, 627",105,,,complete
145-1-phys-2s,HAB,hab-dataset-img-metadata,,Ein kurtzer Tractat von der Natur Der Elementen Und wie sie den Windt/ Regen/ Blitz und Donner verursachen/ und war zu sie nutzen,Ein kurtzer Tractat von der Natur Der Elementen Und wie sie den Windt/ Regen/ Blitz und Donner verursachen/ und war zu sie nutzen,Ein kurtzer Tractat von der Natur Der Elementen Und wie sie den Windt/ Regen/ Blitz und Donner verursachen/ und war zu sie nutzen,"Drebbel, Cornelius: Ein kurtzer Tractat von der Natur Der Elementen","Drebbel, Cornelius","Drebbel, Cornelius; [u.a.]",,"Drebbel, Cornelius",Cornelius Drebbel,Cornelius Drebbel,,,1608,,1608,1608,1600s,17th c.,Ein,Haestens; [u.a.],,Haestens,Haestens,Haestens,,,Leyden; [u.a.],,Leyden,Leiden,Leiden,,uncertain,uncertain,,,place normalisation suggested,http://diglib.hab.de/drucke/145-1-phys-2s/start.htm,145-1-phys-2s,http://diglib.hab.de/drucke/145-1-phys-2s/start.htm,535824416,ok,15,1,,,complete
DellaPorta1608-DeDistillatione,CHR2023,CHR2023-corpus-train,train, De Distillatione,De Distillatione Lib, De Distillatione Lib. IX.,,"Della Porta, Giambattista",,,"Della Porta, Giambattista",Giambattista Della Porta,Giambattista Della Porta,Giambattista della Porta,1608,,,1608,1608,1600s,17th c.,Reu. Cameræ Apostolicæ,,,Reu. Cameræ Apostolicæ,Reu. Cameræ Apostolicæ,Reu. Cameræ Apostolicæ,,Romae / Rome,,,Romae / Rome,Rome,Rome,LAT,Latin,Latin,De distillatione libri IX,"author variant in dataset: Giambattista Della Porta, Giambattista della Porta; short-title/work variant grouped with cognate edition/translation",,http://data.onb.ac.at/rep/1058CD41 ,,,,,,,193,"anfangs einige Laborgeräte und Versuchsaufbauten, dann weniger Bilder. Bilder teils allegorisch ",complete
xb-1648,HAB,hab-dataset-img-metadata,,Probier Büchlein (Gold und Metall),Probier Büchlein (Gold und Metall),Probier Büchlein auff Gold/ Silber/ Ertz und Metall/ : mit viel köstlichen Alchimistischen Künsten/ sampt aller Zugehör/ auch Instrumenten darzu dienstlich. Mehr deß Goldfärbens besondere KunstStücklin. Item ein Erklärung der Bergknamen/ für die newen angehenden Bergkleuth. Alles mit sonderm Fleiß für die Liebhaber der Kunst beschrieben,,,,,,,,,,,1608,1608,1608,1600s,17th c.,,,Steinmeyer,Steinmeyer,Steinmeyer,,Steinmeyer,,,Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,,,German,German,Probierbüchlein tradition,Likely part of the broader Probierbüchlein textual tradition,Anonymous; typical German Probierbüchlein tradition; Frankfurt imprint normalised; manually researched,http://diglib.hab.de/drucke/xb-1648/start.htm,xb-1648,http://diglib.hab.de/drucke/xb-1648/start.htm,,ok,"39, 41",2,,,partial
54-med-1s,HAB,hab-dataset-img-metadata,,"Joannis Baptistae Portae Neapolitani, De Distillationibus, Libri IX","Joannis Baptistae Portae Neapolitani, De Distillationibus, Libri IX","Joannis Baptistae Portae Neapolitani, De Distillationibus, Libri IX.. Quibus Certa Methodo, Multiplicique artificio, penitioribus naturae arcanis detectis, cuius libet mixti in propria elementa resolutio perfecte docetur. Quibus Certa Methodo, Multiplicique artificio, penitioribus naturae arcanis detectis, cuius libet mixti in propria elementa resolutio perfecte docetur",,,"Della Porta, Giambattista; [u.a.]",,"Della Porta, Giambattista",Giambattista Della Porta,Giambattista Della Porta,Giambattista della Porta,,1609,,1609,1609,1600s,17th c.,,Zetzner; [u.a.],,Zetzner,Zetzner,Zetzner,,,Argentorati; [u.a.],,Argentorati,Strasbourg,Strasbourg/Strassburg,,Latin,Latin,De distillatione libri IX,"author variant in dataset: Giambattista Della Porta, Giambattista della Porta; short-title/work variant grouped with cognate edition/translation",place normalisation suggested; short title inferred from opening segment,http://diglib.hab.de/drucke/54-med-1s/start.htm,54-med-1s,http://diglib.hab.de/drucke/54-med-1s/start.htm,091905737,ok,"26, 28, 30, 31, 33, 35, 37, 38, 39, 41, 43, 45, 46, 49, 51, 57, 58, 59, 60, 61, 62, 63, 89, 138, 144, 158",26,,,complete
xb-7887,HAB,hab-dataset-img-metadata,,"Alchimia, Das ist/ Alle Farben/ Wasser/ Olea, Salia, und Alumina, damit man alle Corpora, Spiritus und Calces Praeparirt/ Sublimirt und Fixirt/ zubereyten","Alchimia, Das ist/ Alle Farben/ Wasser/ Olea, Salia, und Alumina, damit man alle Corpora, Spiritus und Calces Praeparirt/ Sublimirt und Fixirt/ zubereyten","Alchimia, Das ist/ Alle Farben/ Wasser/ Olea, Salia, und Alumina, damit man alle Corpora, Spiritus und Calces Praeparirt/ Sublimirt und Fixirt/ zubereyten. Und wie man diese ding nutze/ auff daß Sol und Luna werden möge ; Auch von Solviren und Scheidung aller Metall/ Polierung allerhand Edelgestein ... [et]c.. Und wie man diese ding nutze/ auff daß Sol und Luna werden möge ; Auch von Solviren und Scheidung aller Metall/ Polierung allerhand Edelgestein ... [et]c.. Und wie man diese ding nutze/ auff daß Sol und Luna werden möge ; Auch von Solviren und Scheidung aller Metall/ Polierung allerhand Edelgestein ... [et]c.",,,"Kerzenmacher, Peter; [u.a.]",,"Kerzenmacher, Peter",Peter Kerzenmacher,Peter Kerzenmacher,,,1613,,1613,1613,1610s,17th c.,,Steinmeyer; [u.a.],,Steinmeyer,Steinmeyer,Steinmeyer,,,Franckfurt am Mayn; [u.a.],,Franckfurt am Mayn,Frankfurt am Main,Frankfurt am Main,,German,German,Alchimia,short-title/work variant grouped with cognate edition/translation,title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/xb-7887/start.htm,xb-7887,http://diglib.hab.de/drucke/xb-7887/start.htm,535678282,ok,"9, 10, 11, 12, 13, 14, 15, 16, 17, 45, 53, 69, 71, 76, 86, 118",16,,,complete
nd-14-1s,HAB,hab-dataset-img-metadata,,Occulta Philosophia,Occulta Philosophia,"Occulta Philosophia. Von den verborgenen Philosophischen Geheimnussen der heimlichen Goldblumen/ und Lapidis Philosophorum, was derselbige: und wie zu Erlangung dessen zu procediren/ außführlicher Bericht in einem Philosophischen Gespräch verfasset. Von den verborgenen Philosophischen Geheimnussen der heimlichen Goldblumen/ und Lapidis Philosophorum, was derselbige: und wie zu Erlangung dessen zu procediren/ außführlicher Bericht in einem Philosophischen Gespräch verfasset",,,,,,,anonymous,,,1613,,1613,1613,1610s,17th c.,,Bringer; [u.a.],,Bringer,Bringer,Bringer,,,Franckfurt am Mayn; [u.a.],,Franckfurt am Mayn,Frankfurt am Main,Frankfurt am Main,,German + Latin,German + Latin,,,author normalisation/attribution suggested; short title inferred from opening segment,http://diglib.hab.de/drucke/nd-14-1s/start.htm,nd-14-1s,http://diglib.hab.de/drucke/nd-14-1s/start.htm,092275664,ok,66,1,,,partial
nd-783,HAB,hab-dataset-img-metadata,,Disputationes Chymico-Medicae,Disputationes Chymico-Medicae,Disputationes Chymico-Medicae,"Hartmann, Johann: Disputationes Chymico-Medicae","Hartmann, Johann","Hartmann, Johann; [u.a.]",,"Hartmann, Johann",Johann Hartmann,Johann Hartmann,,,1614,,1614,1614,1610s,17th c.,Disputationes,Egenolphus; [u.a.],,Egenolphus,Egenolphus,Egenolff (?),,,Marpurgi; [u.a.],,Marpurgi,Marburg,Marburg,,Latin,Latin,,,publisher normalisation suggested,http://diglib.hab.de/drucke/nd-783/start.htm,nd-783,http://diglib.hab.de/drucke/nd-783/start.htm,092292224,ok,114,1,,,complete
