source_id,source_collection,source_file,dataset_split,short_title,short_title_inferred,long_title,bibliographic_description,author_original,author_scraped,author_manual,author_resolved,author_normalized,author_normalized_inferred,author_likely_identical_shared,year_original,year_scraped,year_manual,year_resolved,year_normalized,decade,century,publisher_original,publisher_scraped,publisher_manual,publisher_resolved,publisher_normalized,publisher_normalized_inferred,publisher_likely_identical_shared,place_original,place_scraped,place_manual,place_resolved,place_normalized,place_normalized_inferred,language_original,language_normalized,language_inferred,short_title_likely_identical_shared,likely_identical_notes,normalization_notes_inferred,url,signature,signature_link,scraped_ppn,scrape_status,page_numbers_included,pages_included_count,pdf_total_pages,comments,metadata_completeness
OrtusSanitatis1538,CHR2023,CHR2023-corpus-eval,eval,Ortus Sanitatis,Ortus Sanitatis,Ortus Sanitatis. De herbis: [et] plantis. De auibus ... De animalibus ... De piscibus ... De lapidibus ... De vrinis ... Tabula insuper medicinalis de omnibus iis: quae in singualis ... continentur,,"Cuba, Johannes <<von>>",,,"Cuba, Johannes <<von>>",Johannes von Cuba,Johannes von Cuba,,1538,,,1538,1538,1530s,16th c.,Joannes de Cereto de Tridino,,,Joannes de Cereto de Tridino,Joannes de Cereto de Tridino,Joannes de Cereto de Tridino,,Venetiis / Venice,,,Venetiis / Venice,Venice,Venice,LAT,Latin,Latin,Hortus/Ortus sanitatis,short-title/work variant grouped with cognate edition/translation,title contains OCR/line-break artefacts,http://data.onb.ac.at/rep/109E61DA,,,,,,,741,"Sehr viele Bilder von Pflanzen, dann Tiere (teils mythologisch), dann wohl Mineralogie mit ein paar Labor-artigen Bildern",complete
142-3-phys,HAB,hab-dataset-img-metadata,,"Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo","Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo","Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo",,,"Lulius, Raymundus",,"Lulius, Raymundus",Raymundus Lulius,Pseudo-Lull (Raymundus Lullius attribution),,,1541,,1541,1541,1540s,16th c.,,Beck,,Beck,Beck,Beck,,,Argentorati,,Argentorati,Strasbourg,Strasbourg/Strassburg,,German + Latin,German + Latin,,,author normalisation/attribution suggested; place normalisation suggested,http://diglib.hab.de/drucke/142-3-phys/start.htm,142-3-phys,http://diglib.hab.de/drucke/142-3-phys/start.htm,817929320,ok,"36, 38, 39",3,,,complete
Distilierbuch1545,CHR2023,CHR2023-corpus-train,train,Das new groß Distillier Buch,"Das new groß Distillier Buch, Wolgegründter künstlicher Distillation","Das new groß Distillier Buch, Wolgegründter künstlicher Distillation",,"Ryff, Walther Hermann (Brunschwig?)",,,"Ryff, Walther Hermann (Brunschwig?)",Walther Hermann (Brunschwig?) Ryff,Walther Hermann Ryff,,1545,,,1545,1545,1540s,16th c.,Christ. Egenolff,,,Christ. Egenolff,Christ. Egenolff,Christian Egenolff,Christian Egenolff / Egenolff heirs,Franckfurt  / Frankfurt am Main,,,Franckfurt  / Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,DE,German,German,Großes Distillierbuch,"publisher variant in dataset: Egenolff, Christian Egenolff, Christian Egenolff Erben, Christian Egenolffs Erben; short-title/work variant grouped with cognate edition/translation",author normalisation/attribution suggested; publisher normalisation suggested,http://data.onb.ac.at/rep/107BF132,,,,,,,495,"Anfangs viele detaillierte Destillationsapparaturen, später viele und sehr schön ausgeführte Pflanzen",complete
Padoano1550-Pirotechnia,CHR2023,CHR2023-corpus-train,train,Pirotechnia,Pirotechnia,"Pirotechnia. Li Diece Libri Della Pirotechnia, Nelliquali si tratta non solo la diuersita delle minere, ma ancho quanto si ricerca alla prattica di esse ...",,"Biringuccio, Vannoccio",,,"Biringuccio, Vannoccio",Vannoccio Biringuccio,Vannoccio Biringuccio,,1550,,,1550,1550,1550s,16th c.,Giouan Padoano,,,Giouan Padoano,Giouan Padoano,Giouan Padoano,,Vinegia / Venice,,,Vinegia / Venice,Venice,Venice,IT,Italian,French,Pirotechnia,short-title/work variant grouped with cognate edition/translation,title contains OCR/line-break artefacts, http://data.onb.ac.at/rep/108CB82E,,,,,,,365,"natürlich ähnlich wie die anderen Pyrotechnia Bilder, aber wohl Druckplatten, gegen Ende ein paar Öfen ",complete
35-1-phys-2f-1s,HAB,hab-dataset-img-metadata,,Coelum Philosophorum,Coelum Philosophorum,"Coelum Philosophorum. Von heimlichkeit der Natur. das ist, wie man nicht allein auß Wein, sonder auch auß allen Metallen, Früchten ... sol Distilliern Aquam vite, zu erhaltung der gesundheit Menschliches Cörpers. das ist, wie man nicht allein auß Wein, sonder auch auß allen Metallen, Früchten ... sol Distilliern Aquam vite, zu erhaltung der gesundheit Menschliches Cörpers",,,"Ulstadius, Philippus",,"Ulstadius, Philippus",Philippus Ulstadius,Philippus Ulstad,Philippus Ulstad,,1551,,1551,1551,1550s,16th c.,,Gülfferich,,Gülfferich,Gülfferich,Gülfferich,,,Franckfurdt am Mayn,,Franckfurdt am Mayn,Frankfurt am Main,Frankfurt am Main,,German + Latin,German + Latin,Coelum philosophorum,"author variant in dataset: Philippus Ulstad, Philippus Ulstad; Johannes Antonius Campesius; Arnaldus de Villanova; short-title/work variant grouped with cognate edition/translation",author normalisation/attribution suggested; short title inferred from opening segment,http://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm,35-1-phys-2f-1s,http://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm,838732070,ok,"51, 61, 62, 63, 64, 66, 68, 70, 74, 75, 78, 80, 82, 87, 88, 94, 96, 102, 108, 112, 125, 128, 132, 133, 136, 156",26,,,complete
109-27-med-1s,HAB,hab-dataset-img-metadata,,"DE SECRETIS REMEDIIS LIBER AVT PO TIVS THESAVRVS, EVO NYMO GESNERO PHI- liatro authore","DE SECRETIS REMEDIIS LIBER AVT PO TIVS THESAVRVS, EVO NYMO GESNERO PHI- liatro authore","DE SECRETIS || REMEDIIS || LIBER AVT PO||TIVS THESAVRVS, EVO||NYMO GESNERO PHI-||liatro authore.|| ... ACCEDIT IAM RECENS || IACOBI BESSONI GALLI || de absoluta ratione olea et aquas è medica-||mentis simplicibus extrahendi Liber do||ctißimus, nunquam ante hac || in lucem aeditus.|| ... ||",,,"Gessner, Conrad",,"Gessner, Conrad",Conrad Gessner,Conrad Gessner,,,1554,,1554,1554,1550s,16th c.,,"Geßner, Andreas",,"Geßner, Andreas","Geßner, Andreas",Andreas Gessner,,,Zürich,,Zürich,Zurich,Zürich,,Latin,Latin,,,publisher normalisation suggested; place normalisation suggested; title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/109-27-med-1s/start.htm,109-27-med-1s,http://diglib.hab.de/drucke/109-27-med-1s/start.htm,85749676X,ok,"98, 149, 153, 170, 303, 323, 351, 439, 446",9,,,complete
3-bell,HAB,hab-dataset-img-metadata,,"La Pyrotechnie, Ov Art Dv Fev","La Pyrotechnie, Ov Art Dv Fev","La Pyrotechnie, Ov Art Dv Fev. Contenant Dix Livres, Avsqvelles Est Amplement rtaicté de toutes sortes & diuersité de minieres, fusions & separations des metaux: des fomres & moules pour getter artilleries, cloches, & toutes autres figures: des distillations, des mines, contremines, pots, boulets, fusees, lances ... & autres choses dependantes du feu. Contenant Dix Livres, Avsqvelles Est Amplement rtaicté de toutes sortes & diuersité de minieres, fusions & separations des metaux: des fomres & moules pour getter artilleries, cloches, & toutes autres figures: des distillations, des mines, contremines, pots, boulets, fusees, lances ... & autres choses dependantes du feu",,,"Biringuccio, Vannoccio",,"Biringuccio, Vannoccio",Vannoccio Biringuccio,Vannoccio Biringuccio,,,1556,,1556,1556,1550s,16th c.,,Fremy,,Fremy,Fremy,Fremy,,,Paris,,Paris,Paris,Paris,,French,French,Pirotechnia,short-title/work variant grouped with cognate edition/translation,short title inferred from opening segment,http://diglib.hab.de/drucke/3-bell/start.htm,3-bell,http://diglib.hab.de/drucke/3-bell/start.htm,805140069,ok,"100, 117, 131, 132, 133, 137, 139, 194, 199, 202, 213, 215, 223, 232, 233, 234, 238, 249, 250, 266, 347, 349, 350, 352, 353, 360, 361, 362, 363, 364, 389, 390, 391, 394, 395, 397, 398, 400, 402, 403",40,,,complete
Distilierbuch1556,CHR2023,CHR2023-corpus-train,train,New groß distillier-Buch,"New groß distillier-Buch, wolgegründter Künstlicher Distillation (etc.)","New groß distillier-Buch, wolgegründter Künstlicher Distillation (etc.)",,"Ryff, Walther Hermann (Brunschwig?)",,,"Ryff, Walther Hermann (Brunschwig?)",Walther Hermann (Brunschwig?) Ryff,Walther Hermann Ryff,,1556,,,1556,1556,1550s,16th c.,Christian Egenolff's Erben,,,Christian Egenolff's Erben,Christian Egenolff's Erben,Christian Egenolff Erben,Christian Egenolff / Egenolff heirs,Franckfort / Frankfurt am Main,,,Franckfort / Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,DE,German,German,Großes Distillierbuch,"publisher variant in dataset: Egenolff, Christian Egenolff, Christian Egenolff Erben, Christian Egenolffs Erben; short-title/work variant grouped with cognate edition/translation",author normalisation/attribution suggested; publisher normalisation suggested; title contains OCR/line-break artefacts,http://data.onb.ac.at/rep/105FA8A2,,,,,,,425,"Anfangs viele detaillierte Destillationsapparaturen, später viele und sehr schön ausgeführte Pflanzen",complete
Agricola1557-Bergwerck,CHR2023,CHR2023-corpus-train,train,Vom Bergkwerck,Vom Bergkwerck xij,Vom Bergkwerck xij. Bücher,,"Agricola, Georg",,,"Agricola, Georg",Georg Agricola,Georg Agricola,,1557,,,1557,1557,1550s,16th c.,"Jeronymus Froben, vnd Niclausen Bischoff",,,"Jeronymus Froben, vnd Niclausen Bischoff","Jeronymus Froben, vnd Niclausen Bischoff","Jeronymus Froben, vnd Niclausen Bischoff",,Basel / Basel,,,Basel / Basel,Basel,Basel,DE,German,uncertain,De re metallica / Vom Bergkwerck,short-title/work variant grouped with cognate edition/translation,,http://data.onb.ac.at/rep/108C988B,,,,,,,528,"vorwiegend größere Szenerien zu Bergbau, aber auch manchmal ""Closeups"" auf unterschiedliche Geräte ",complete
Giglio1559-Pirotechnia,CHR2023,CHR2023-corpus-train,train,Pirotechnia ,Pirotechnia Del S,Pirotechnia Del S. Vannvccio Biringvccio Senese,,"Biringuccio, Vannoccio",,,"Biringuccio, Vannoccio",Vannoccio Biringuccio,Vannoccio Biringuccio,,1559,,,1559,1559,1550s,16th c.,Gironimo Giglio,,,Gironimo Giglio,Gironimo Giglio,Gironimo Giglio,,Venetia / Venice,,,Venetia / Venice,Venice,Venice,IT,Italian,Italian,Pirotechnia,short-title/work variant grouped with cognate edition/translation,, http://data.onb.ac.at/rep/1085DDED ,,,,,,,723,"deutliche einfachere Darstellungen als in Monferrato, wohl Holzschnitte, aber ähnliche Inhalte",complete
