signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/nd-2f-1-1b/start.htm,nd-2f-1-1b,"111, 565, 965, 971, 973, 975, 977, 979, 981, 983, 985, 987, 989",,,,,,
http://diglib.hab.de/drucke/nd-2f-1-2b/start.htm,nd-2f-1-2b,"94, 622",,,,,,
http://diglib.hab.de/drucke/nd-351/start.htm,nd-351,6,,,,,,
http://diglib.hab.de/drucke/nd-4f-18/start.htm,nd-4f-18,"344, 345, 347, 348, 349, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 373, 374, 375, 376, 377, 378, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 392, 393, 394, 395, 396, 397, 398, 400, 401, 403, 404, 405, 406, 407, 408, 409, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 493, 494, 508, 510, 512, 513, 514, 519, 520, 521, 524, 542, 543, 550, 551, 552, 553, 554, 555, 556, 558, 559, 562, 563, 564, 565, 566, 569, 571, 572, 573, 574, 576, 614, 615, 627","Libavius, Andreas: Alchymia AndreÃ¦ Libavii, Recognita, Emendata, Et aucta","Libavius, Andreas","Alchymia AndreÃ¦ Libavii, Recognita, Emendata, Et aucta",,Alchymia,
http://diglib.hab.de/drucke/nd-779/start.htm,nd-779,"99, 102, 115, 174, 242","Dyas Chymica Tripartita, Das ist: Sechs Herrliche Teutsche Philosophische TractÃ¤tlein ... - Franckfurt am Mayn : Jennis, 1625","Dyas Chymica Tripartita, Das ist",Sechs Herrliche Teutsche Philosophische TractÃ¤tlein ...,Franckfurt am Mayn,Sechs,1625
http://diglib.hab.de/drucke/nd-782-1/start.htm,nd-782-1,"922, 934, 938, 942, 946, 950",,,,,,
http://diglib.hab.de/drucke/nd-783/start.htm,nd-783,114,"Hartmann, Johann: Disputationes Chymico-Medicae","Hartmann, Johann",Disputationes Chymico-Medicae,,Disputationes,
http://diglib.hab.de/drucke/oc-77-1/start.htm,oc-77-1,"6, 660, 661, 662, 663, 823, 1200, 1207, 1224",,,,,,
http://diglib.hab.de/drucke/oc-77-2/start.htm,oc-77-2,"753, 847, 1231",,,,,,
http://diglib.hab.de/drucke/od-215/start.htm,od-215,"34, 84, 88",,,,,,
http://diglib.hab.de/drucke/od-216/start.htm,od-216,"83, 87, 91, 227, 229, 341, 345, 349, 353, 355, 371, 395, 443",,,,,,
http://diglib.hab.de/drucke/oe-238/start.htm,oe-238,82,,,,,,
http://diglib.hab.de/drucke/wa-2f-98/start.htm,wa-2f-98,10,,,,,,
http://diglib.hab.de/drucke/xb-12f-161/start.htm,xb-12f-161,"75, 81, 120, 126, 140",,,,,,
http://diglib.hab.de/drucke/xb-149-1s/start.htm,xb-149-1s,"439, 517",,,,,,
http://diglib.hab.de/drucke/xb-1648/start.htm,xb-1648,"39, 41",,,,,,
http://diglib.hab.de/drucke/xb-1806/start.htm,xb-1806,5,,,,,,
http://diglib.hab.de/drucke/xb-2146-2s/start.htm,xb-2146-2s,65,,,,,,
http://diglib.hab.de/drucke/xb-3135/start.htm,xb-3135,8,,,,,,
