original_image_link,viewer_link,mets_link,bibliographical_description,author,title,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/153-2-phys/00077.jpg,https://diglib.hab.de/drucke/153-2-phys/start.htm?image=00077,https://diglib.hab.de/drucke/153-2-phys/mets.xml,"Stoltzius von Stoltzenberg, Daniel: Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat - Francofurti : Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat",Francofurti,Viridarium,1624
http://diglib.hab.de/drucke/153-2-phys/00169.jpg,https://diglib.hab.de/drucke/153-2-phys/start.htm?image=00169,https://diglib.hab.de/drucke/153-2-phys/mets.xml,"Stoltzius von Stoltzenberg, Daniel: Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat - Francofurti : Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat",Francofurti,Viridarium,1624
http://diglib.hab.de/drucke/153-2-phys/00181.jpg,https://diglib.hab.de/drucke/153-2-phys/start.htm?image=00181,https://diglib.hab.de/drucke/153-2-phys/mets.xml,"Stoltzius von Stoltzenberg, Daniel: Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat - Francofurti : Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat",Francofurti,Viridarium,1624
http://diglib.hab.de/drucke/153-2-phys/00249.jpg,https://diglib.hab.de/drucke/153-2-phys/start.htm?image=00249,https://diglib.hab.de/drucke/153-2-phys/mets.xml,"Stoltzius von Stoltzenberg, Daniel: Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat - Francofurti : Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat",Francofurti,Viridarium,1624
http://diglib.hab.de/drucke/18-phys-2f/00184.jpg,https://diglib.hab.de/drucke/18-phys-2f/start.htm?image=00184,https://diglib.hab.de/drucke/18-phys-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/18-phys-2f/00185.jpg,https://diglib.hab.de/drucke/18-phys-2f/start.htm?image=00185,https://diglib.hab.de/drucke/18-phys-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/18-phys-2f/00218.jpg,https://diglib.hab.de/drucke/18-phys-2f/start.htm?image=00218,https://diglib.hab.de/drucke/18-phys-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/18-phys-2f/00219.jpg,https://diglib.hab.de/drucke/18-phys-2f/start.htm?image=00219,https://diglib.hab.de/drucke/18-phys-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/196-quod-1s/00043.jpg,https://diglib.hab.de/drucke/196-quod-1s/start.htm?image=00043,https://diglib.hab.de/drucke/196-quod-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/218-9-quod-11s/r00001.jpg,https://diglib.hab.de/drucke/218-9-quod-11s/start.htm?image=r00001,https://diglib.hab.de/drucke/218-9-quod-11s/mets.xml,,,,,,
